n,t_n,q_n,k_n,h_n,d_dot_n,T_n,W_n
61,19072.7265039565,0.3197648030,1.2313018523,0.2120060850,9.1304859872,5.0002328613,28.2858104837
62,19077.7267368178,0.2964292910,1.2330433207,0.2133224033,9.1305183670,30.2601728513,3.2878617652
63,19107.9869096691,0.2408891737,1.2312266828,0.2119607252,9.1304849950,5.2388658642,28.5401132901
64,19113.2257755333,0.3387328400,1.2330309189,0.2133071067,9.1305178001,29.7508403556,3.5232615840
65,19142.9766158889,0.3108266702,1.2312960166,0.2120029472,9.1304859465,5.0001672030,28.0383954609
66,19147.9767830919,0.2871334825,1.2330372408,0.2133191703,9.1305183037,30.2502500426,3.2881110039
67,19178.2270331346,0.2616185469,1.2312348266,0.2119636364,9.1304850578,5.0149538235,28.5391179303
68,19183.2419869581,0.2399365738,1.2329984682,0.2132970587,9.1305177963,29.9847758017,3.2920671797
69,19213.2267627598,0.2895733854,1.2312782460,0.2119923886,9.1304857381,5.0001914916,28.2726221589
70,19218.2269542513,0.2659005142,1.2330198063,0.2133089676,9.1305180757,30.2537237275,3.2887295902
71,19248.4806779789,0.2463508228,1.2312276928,0.2119604696,9.1304849869,5.2442560828,28.5397651953
72,19253.7249340617,0.3414892702,1.2330380245,0.2133119386,9.1305178925,29.7515898132,3.5273664805
73,19283.4765238749,0.3184561522,1.2313069527,0.2120098486,9.1304860862,5.0002268791,28.0386382307
74,19288.4767507540,0.2938620180,1.2330471932,0.2133254044,9.1305184451,30.2695664704,3.2879107419
75,19318.7463172244,0.2364142218,1.2312412905,0.2119721686,9.1304852785,5.2297433757,28.5406453117
76,19323.9760606000,0.3356972712,1.2330335413,0.2133090839,9.1305178738,29.7506147209,3.5149464235
77,19353.7266753209,0.3040279660,1.2312949806,0.2120026174,9.1304859595,5.0001420669,28.0383986272
78,19358.7268173878,0.2794383016,1.2330353993,0.2133183804,9.1305182939,30.4992794014,3.2883117727
79,19389.2260967892,0.3336696000,1.2312700200,0.2119795636,9.1304852464,5.0004596602,28.7837586630
80,19394.2265564494,0.3176579414,1.2330186235,0.2133003339,9.1305177658,29.7501507908,3.2873943330
81,19423.9767072402,0.2994970267,1.2312929679,0.2120017148,9.1304859487,5.0001370372,28.0383661953
82,19428.9768442774,0.2745317813,1.2330330755,0.2133173124,9.1305182727,30.4999124200,3.2884445619
83,19459.4767566974,0.2907520299,1.2312325313,0.2119574081,9.1304848730,5.0000857633,28.7871972761
84,19464.4768424608,0.2747557627,1.2329816113,0.2132787403,9.1305173308,29.7511786735,3.2886230730
85,19494.2280211343,0.2524773013,1.2312548127,0.2119800499,9.1304854676,5.2460003336,28.0400271116
86,19499.4740214679,0.3419750802,1.2330632646,0.2133308394,9.1305183493,30.2525585782,3.5290536659
87,19529.7265800460,0.3141053309,1.2312582284,0.2119739568,9.1304852190,5.0001519947,28.5399958004
88,19534.7267320408,0.2972284802,1.2330062161,0.2132944552,9.1305176831,29.7501525744,3.2879318631
89,19564.4768846151,0.2682336789,1.2312708899,0.2119900542,9.1304857051,5.0130046874,28.0391594845
90,19569.4898893025,0.2409736705,1.2330262258,0.2133178253,9.1305183030,30.4862711826,3.2917193379
91,19599.9761604851,0.3324883754,1.2312774996,0.2119858211,9.1304854100,5.0004257742,28.7712828565
92,19604.9765862593,0.3152237489,1.2330248553,0.2133057957,9.1305179089,29.7502036564,3.2874530606
93,19634.7267899157,0.2836633348,1.2312863372,0.2119992052,9.1304859151,5.0007012782,28.0385815583
94,19639.7274911938,0.2571937706,1.2330258036,0.2133145915,9.1305182180,30.4991688408,3.2889954798
95,19670.2266600346,0.3059181165,1.2312539485,0.2119714746,9.1304851856,5.0001157542,28.7862924283
96,19675.2267757888,0.2886990487,1.2330016664,0.2132918497,9.1305176344,29.7501075125,3.2881846762
97,19704.9768833013,0.2683455143,1.2312741472,0.2119920662,9.1304857547,5.0145647489,28.0391828818
98,19709.9914480501,0.2402177032,1.2330308188,0.2133209913,9.1305183805,30.4849026330,3.2920591873
99,19740.4763506831,0.3272131922,1.2312754726,0.2119845583,9.1304854151,5.0002928676,28.7709469990
100,19745.4766435507,0.3095724602,1.2330225351,0.2133043847,9.1305178941,29.7504827100,3.2875689316
101,19775.2271262607,0.2596771061,1.2312675836,0.2119880607,9.1304856616,5.2037484486,28.0389101416
102,19780.4308747093,0.3245773633,1.2330663629,0.2133351706,9.1305185836,30.2958248391,3.3598796425
103,19810.7266995484,0.3006141722,1.2312523797,0.2119707140,9.1304851811,5.0001015608,28.5835532569
104,19815.7268011092,0.2830060800,1.2329997533,0.2132909008,9.1305176189,29.7502529536,3.2883477093
105,19845.4770540629,0.2611398985,1.2312709381,0.2119903315,9.1304857168,5.1897111184,28.0393049292
106,19850.6667651812,0.3181051414,1.2330666393,0.2133362808,9.1305186416,30.3099046456,3.3243236562
107,19880.9766698268,0.3047009575,1.2312578262,0.2119741133,9.1304852543,5.0001145392,28.5973198586
108,19885.9767843660,0.2868131513,1.2330048824,0.2132940747,9.1305176915,29.7517891819,3.2882290641
109,19915.7285735479,0.2505263607,1.2312646607,0.2119869829,9.1304856395,5.2470956634,28.0395035112
110,19920.9756692113,0.3394462418,1.2330712989,0.2133364342,9.1305185099,30.2510981813,3.5312223486
111,19951.2267673926,0.2885728438,1.2312449135,0.2119665744,9.1304851028,5.0001097575,28.5391355229
112,19956.2268771500,0.2705959766,1.2329920478,0.2132866802,9.1305175282,29.7526837788,3.2887064895
113,19985.9795609288,0.2481988847,1.2312658266,0.2119881774,9.1304856699,5.2463662633,28.0396937669
114,19991.2259271922,0.3374285114,1.2330713742,0.2133367377,9.1305185349,30.2508024063,3.5311095920
115,20021.4767295984,0.2958118984,1.2312534092,0.2119718548,9.1304852200,5.0000972827,28.5387019089
116,20026.4768268811,0.2774796976,1.2330001031,0.2132916372,9.1305176431,29.7678917462,3.2884967160
117,20056.2447186273,0.2370923197,1.2312779788,0.2119990897,9.1304859426,5.2315918285,28.0408091290
118,20061.4763104559,0.3301264088,1.2330661153,0.2133336645,9.1305185141,30.2505165025,3.5174982504
119,20091.7268269584,0.2755680621,1.2312366210,0.2119619822,9.1304850060,5.0006563326,28.5388482076
120,20096.7274832910,0.2572154815,1.2329841123,0.2132824680,9.1305174337,29.9982964318,3.2891565130
121,20126.7257797228,0.3373207106,1.2313121066,0.2120103117,9.1304859747,5.0008057501,28.2807285168
122,20131.7265854729,0.3153192753,1.2330545402,0.2133271071,9.1305184289,30.2502162054,3.2876967279
123,20161.9768016783,0.2809332304,1.2312437764,0.2119666636,9.1304851156,5.0002802381,28.5387176222
124,20166.9770819164,0.2621705877,1.2329903788,0.2132864978,9.1305175295,29.8627165225,3.2889544428
125,20196.8397984389,0.2796233211,1.2313008233,0.2120101818,9.1304861909,5.1366040243,28.0422766134
126,20201.9764024632,0.3266784558,1.2330668280,0.2133346297,9.1305185588,30.7504315756,3.4228019674
127,20232.7268340388,0.2742243954,1.2311726855,0.2119147194,9.1304838407,5.0001756597,29.0401248928
128,20237.7270096985,0.2638832968,1.2329277092,0.2132399794,9.1305163924,28.9992209601,3.2890507146
129,20266.7262306587,0.3309826267,1.2313838294,0.2120660006,9.1304873994,5.5113608312,27.2846448610
130,20272.2375914898,0.2422037643,1.2330102595,0.2133049581,9.1305179885,30.4889227102,3.7918324562
131,20302.7265142000,0.3190571629,1.2312525752,0.2119687307,9.1304850687,5.0001772243,28.7761520017
132,20307.7266914244,0.3035592212,1.2330019084,0.2132900661,9.1305175615,29.7500828607,3.2877549260
133,20337.4767742851,0.2871377494,1.2312786922,0.2119931860,9.1304857616,5.0002742367,28.0390185739
134,20342.4770485218,0.2629450020,1.2330198589,0.2133095446,9.1305180917,30.4996906152,3.2888147558
135,20372.9767391370,0.2941008262,1.2312336797,0.2119584208,9.1304848919,5.0000836585,28.7876159400
136,20377.9768227955,0.2782654659,1.2329828914,0.2132798158,9.1305173536,29.7506110919,3.2885225010
137,20407.7274338873,0.2559711434,1.2312553533,0.2119805564,9.1304854785,5.2239700364,28.0398678805
138,20412.9514039237,0.3336017031,1.2330596863,0.2133300117,9.1305184009,30.2751874186,3.4943647495
139,20443.2265913423,0.3131121095,1.2312555474,0.2119726890,9.1304851915,5.0001452473,28.5627180575
140,20448.2267365896,0.2964286076,1.2330037419,0.2132933229,9.1305176570,29.7500773250,3.2879590998
141,20477.9768139146,0.2782562144,1.2312783218,0.2119948305,9.1304858137,5.0016991993,28.0390190184
142,20482.9785131139,0.2523924328,1.2330196640,0.2133115914,9.1305181469,30.4980727021,3.2893115432
143,20513.4765858160,0.3136054531,1.2312584439,0.2119747267,9.1304852399,5.0001499265,28.7851877324
144,20518.4767357425,0.2965812605,1.2330062898,0.2132951344,9.1305177010,29.7504247129,3.2879493391
145,20548.2271604554,0.2591043779,1.2312635289,0.2119863294,9.1304856193,5.2031560102,28.0392998382
146,20553.4303164656,0.3243221562,1.2330627669,0.2133337466,9.1305185502,30.2960759025,3.3561925631
147,20583.7263923681,0.3255565107,1.2312719118,0.2119831202,9.1304853896,5.0002639039,28.5824768018
148,20588.7266562720,0.3081075292,1.2330191947,0.2133030938,9.1305178671,29.7502593524,3.2876071294
149,20618.4769156244,0.2660999131,1.2312713742,0.2119910022,9.1304857301,5.0230283315,28.0388752968
150,20623.4999439559,0.2367824076,1.2330389383,0.2133284929,9.1305185644,30.4767342297,3.2940213400
151,20653.9766781856,0.3036087400,1.2312532390,0.2119718900,9.1304852024,5.0001091502,28.7642854200
152,20658.9767873357,0.2861426042,1.2330007315,0.2132921311,9.1305176449,29.7501300534,3.2882568777
153,20688.7269173892,0.2660004433,1.2312733657,0.2119923815,9.1304857642,5.0487446907,28.0392109470
154,20693.7756620799,0.2495301038,1.2330448361,0.2133309093,9.1305186196,30.4509586535,3.2947864192
155,20724.2266207333,0.3103049407,1.2312611815,0.2119767251,9.1304853013,5.0001366360,28.7381961901
156,20729.2267573693,0.2925314247,1.2330083032,0.2132966915,9.1305177465,29.7507966112,3.2880597281
157,20758.9775539805,0.2550460895,1.2312656333,0.2119878750,9.1304856595,5.2455526946,28.0392716376
158,20764.2231066751,0.3419145537,1.2330723393,0.2133376899,9.1305185172,30.2537245909,3.5290319811
159,20794.4768312659,0.2747713682,1.2312304731,0.2119584887,9.1304849206,5.0006622832,28.5418695741
160,20799.4774935492,0.2571306860,1.2329786912,0.2132794372,9.1305173598,29.9972538272,3.2891729152
161,20829.4747473764,0.3403089423,1.2313102288,0.2120095902,9.1304859287,5.0017842453,28.2485382779
162,20834.4765316217,0.3195109026,1.2330535499,0.2133268759,9.1305184059,30.2502834973,3.2884802887
163,20864.7268151190,0.2779526555,1.2312365476,0.2119628071,9.1304850239,5.0004123975,28.5389053842
164,20869.7272275165,0.2597846045,1.2329839220,0.2132831623,9.1305174494,29.9597210238,3.2890525995
165,20899.6869485403,0.3258808372,1.2313100833,0.2120116740,9.1304860924,5.0395173971,28.0492906294
166,20904.7264659374,0.3235747375,1.2330600030,0.2133311973,9.1305184919,30.2503763833,3.3259544351
167,20934.9768423207,0.2729502978,1.2312343986,0.2119618637,9.1304850056,5.0011072320,28.5389128632
168,20939.9779495527,0.2544489847,1.2329823123,0.2132826979,9.1305174406,29.9977817773,3.2892979226
169,20969.9757313300,0.3376591637,1.2313125524,0.2120117228,9.1304860065,5.0008521565,28.2798543038
170,20974.9765834866,0.3154915837,1.2330548069,0.2133283950,9.1305184597,30.2504663322,3.2877294870
171,21005.2270498187,0.2611974882,1.2312261607,0.2119573054,9.1304849019,5.0123054958,28.5390381795
172,21010.2393553145,0.2412113232,1.2329877758,0.2132889361,9.1305175976,29.9863451869,3.2915060082
173,21040.2257005013,0.3378567966,1.2313151156,0.2120136021,9.1304860511,5.0008859484,28.2681239847
174,21045.2265864498,0.3152372351,1.2330569078,0.2133299794,9.1305184993,30.3403760651,3.2877621618
175,21075.5669625149,0.2683296570,1.2312457747,0.2119714523,9.1304852461,5.1591406301,28.5418960466
176,21080.7261031450,0.3350022694,1.2330236223,0.2133022130,9.1305177114,29.7503793881,3.4444940067
177,21110.4764825330,0.3210715919,1.2313021552,0.2120062816,9.1304859856,5.0002459488,28.0374965738
178,21115.4767284818,0.2978783425,1.2330437476,0.2133226686,9.1305183706,30.2502858403,3.2878260667
179,21145.7270143221,0.2621239869,1.2312319848,0.2119615894,9.1304850070,5.0120578502,28.5390368728
180,21150.7390721723,0.2413648317,1.2329924724,0.2132924519,9.1305176834,29.9873904259,3.2914757683
181,21180.7264625981,0.3222002231,1.2313050529,0.2120081429,9.1304860258,5.0002613483,28.2740618098
182,21185.7267239464,0.2986422664,1.2330462679,0.2133242851,9.1305184084,30.4997412723,3.2878024345
183,21216.2264652187,0.3220103486,1.2312527011,0.2119687158,9.1304850538,5.0002016647,28.7859360133
184,21221.2266668834,0.3068027565,1.2330022995,0.2132902029,9.1305175561,29.7501075995,3.2876570254
185,21250.9767744829,0.2870922585,1.2312761312,0.2119916027,9.1304857227,5.0002572904,28.0389887227
186,21255.9770317733,0.2633616673,1.2330177353,0.2133082320,9.1305180594,30.2513638919,3.2888106309
187,21286.2283956652,0.2510474526,1.2312291942,0.2119613120,9.1304850059,5.2274872070,28.5395151258
188,21291.4558828721,0.3354578282,1.2330376320,0.2133129754,9.1305179707,29.7706550073,3.5176379730
189,21321.2265378795,0.3174701155,1.2313060500,0.2120096821,9.1304860865,5.0002181831,28.0576896857
190,21326.2267560626,0.2928304053,1.2330462598,0.2133252234,9.1305184425,30.9979647363,3.2879373040
191,21357.2247207989,0.3402500219,1.2312084375,0.2119336341,9.1304840541,5.0015134498,29.2054997831
192,21362.2262342487,0.3322152911,1.2329649094,0.2132594369,9.1305166871,28.7505025665,3.2873937976
193,21390.9767368152,0.2946556436,1.2313611536,0.2120552527,9.1304872797,5.7497723506,27.0386852876
194,21396.7265091658,0.3210035181,1.2330431397,0.2133194040,9.1305182166,30.2501885632,4.0363335130
195,21426.9766977290,0.3008767168,1.2312465292,0.2119678529,9.1304851098,5.0000991098,28.5385310189
196,21431.9767968388,0.2839760592,1.2329946153,0.2132884858,9.1305175588,29.7503871490,3.2883322072
197,21461.7271839878,0.2587462169,1.2312633481,0.2119866201,9.1304856266,5.2088687990,28.0394933299
198,21466.9360527868,0.3269059010,1.2330635844,0.2133343510,9.1305185506,30.2906282755,3.3877560479
199,21497.2266810623,0.3032226357,1.2312516128,0.2119713839,9.1304851910,5.0001074578,28.5783702681
200,21502.2267885201,0.2858740456,1.2329992290,0.2132917028,9.1305176348,29.7506808780,3.2882670821
201,21531.9774693981,0.2556844610,1.2312634769,0.2119871027,9.1304856401,5.2406308371,28.0394153695
202,21537.2181002351,0.3402894245,1.2330695109,0.2133367545,9.1305185100,30.2585309182,3.5275552113
203,21567.4766311533,0.3092171081,1.2312593721,0.2119762559,9.1304852934,5.0001313768,28.5459600983
204,21572.4767625302,0.2914928747,1.2330065562,0.2132962648,9.1305177378,29.7508891954,3.2880917615
205,21602.2276517256,0.2543939341,1.2312644328,0.2119877938,9.1304856578,5.2465103991,28.0393184651
206,21607.4741621247,0.3419628170,1.2330714048,0.2133377020,9.1305185170,30.2526982480,3.5295744422
207,21637.7268603727,0.2705470444,1.2312260506,0.2119564800,9.1304848748,5.0014762323,28.5409592139
208,21642.7283366050,0.2529194272,1.2329753134,0.2132782427,9.1305173325,29.9952333987,3.2894091033
209,21672.7235700037,0.3405902756,1.2313102921,0.2120103178,9.1304859439,5.0029493201,28.1591728073
210,21677.7265193238,0.3203499386,1.2330538316,0.2133276784,9.1305184217,30.2502461042,3.2895979621
211,21707.9767654280,0.2889864486,1.2312460013,0.2119690145,9.1304851623,5.0001105040,28.5386060469
212,21712.9768759319,0.2707109230,1.2329928397,0.2132889210,9.1305175828,29.8977739716,3.2886970194
213,21742.8746499035,0.2966108162,1.2313009063,0.2120095807,9.1304861492,5.1017588306,28.0434662221
214,21747.9764087341,0.3263986458,1.2330617434,0.2133326547,9.1305185121,30.2503513527,3.3879963034
215,21778.2267600868,0.2900883051,1.2312490108,0.2119709223,9.1304852076,5.0001077553,28.5385408192
216,21783.2268678421,0.2715164371,1.2329955389,0.2132906257,9.1305176238,29.9475381047,3.2886671600
217,21813.1744059468,0.3201867660,1.2313094510,0.2120123374,9.1304861394,5.0520506504,28.0473239690
218,21818.2264565973,0.3240770821,1.2330613806,0.2133324638,9.1305185202,30.2504211049,3.3384481830
219,21848.4768777022,0.2687886327,1.2312314332,0.2119604913,9.1304849752,5.0025674494,28.5389247779
220,21853.4794451515,0.2500754240,1.2329810152,0.2132826512,9.1305174413,29.9742502460,3.2896391034
221,21883.4536953975,0.3331690288,1.2313150925,0.2120145672,9.1304861142,5.0228026950,28.0542621413
222,21888.4764980926,0.3217142332,1.2330613245,0.2133326322,9.1305185362,30.2505398632,3.3093398906
223,21918.7270379558,0.2614884949,1.2312269533,0.2119580143,9.1304849192,5.0118445189,28.5389666815
224,21923.7388824747,0.2414616641,1.2329878805,0.2132891183,9.1305176020,29.9874451786,3.2914192928
225,21953.7263276533,0.3280599530,1.2313064047,0.2120085677,9.1304860022,5.0003518593,28.2735085372
226,21958.7266795125,0.3052283246,1.2330482516,0.2133250661,9.1305184117,30.2503988435,3.2876614424
227,21988.9770783560,0.2605615002,1.2312285030,0.2119592740,9.1304849508,5.0155283412,28.5390960519
228,21993.9926066972,0.2396515020,1.2329937395,0.2132938237,9.1305177174,29.9834375742,3.2921580290
229,22023.9760442714,0.3345357284,1.2313145969,0.2120137161,9.1304860824,5.0005836858,28.2677657634
230,22028.9766279572,0.3112853754,1.2330558885,0.2133298127,9.1305185094,30.2602333193,3.2876262002
231,22059.2368612765,0.2409174146,1.2312252181,0.2119596353,9.1304849680,5.2388876714,28.5399237529
232,22064.4757489479,0.3389187742,1.2330296922,0.2133061809,9.1305177758,29.7508213277,3.5232174922
233,22094.2265702756,0.3149635534,1.2312985871,0.2120043487,9.1304859655,5.0001926266,28.0382549920
234,22099.2267629022,0.2914526352,1.2330399425,0.2133206274,9.1305183327,30.2678854536,3.2879934842
235,22129.4946483559,0.2370806693,1.2312350618,0.2119678043,9.1304851707,5.2313515207,28.5406723515
236,22134.7259998765,0.3365447392,1.2330299139,0.2133067076,9.1305178089,29.7505116804,3.5163729882
237,22164.4765115570,0.3192781719,1.2313048482,0.2120084187,9.1304860471,5.0002318501,28.0376442252
238,22169.4767434071,0.2952399623,1.2330456277,0.2133243066,9.1305184158,30.4997883258,3.2878829439
239,22199.9765317329,0.3178591476,1.2312512704,0.2119682016,9.1304850612,5.0001679939,28.7862692003
240,22204.9766997268,0.3023687572,1.2330006244,0.2132895560,9.1305175520,29.7500953734,3.2877920196
241,22234.7267951002,0.2824679165,1.2312742493,0.2119907961,9.1304857092,5.0005634031,28.0391197577
242,22239.7273585033,0.2583396035,1.2330158608,0.2133075067,9.1305180445,30.4812169319,3.2889923796
243,22270.2085754352,0.3351550378,1.2312755810,0.2119844295,9.1304853545,5.0178019071,28.5604766509
244,22275.2263773423,0.3276944423,1.2330274481,0.2133063545,9.1305178624,29.7503407525,3.3040637741
245,22304.9767180948,0.2977797205,1.2312906971,0.2120009789,9.1304859344,5.0001381743,28.0384027051
246,22309.9768562691,0.2728802577,1.2330308961,0.2133166416,9.1305182578,30.4994001768,3.2884938008
247,22340.4762564459,0.3302090632,1.2312681622,0.2119793177,9.1304852660,5.0003442423,28.7847711196
248,22345.4766006881,0.3139223239,1.2330165544,0.2132999743,9.1305177717,29.7501369812,3.2874594938
249,22375.2267376693,0.2944258711,1.2312896464,0.2120005578,9.1304859310,5.0001573428,28.0384980337
250,22380.2268950122,0.2691656369,1.2330295531,0.2133160625,9.1305182466,30.4994963862,3.2885951179
251,22410.7263913984,0.3255922271,1.2312658491,0.2119781029,9.1304852656,5.0002566925,28.7855567683
252,22415.7266480909,0.3090524707,1.2330140510,0.2132986686,9.1305177562,29.7502101726,3.2875838939
253,22445.4768582635,0.2708385846,1.2312702452,0.2119892174,9.1304856824,5.0067013813,28.0390812431
254,22450.4835596448,0.2450060996,1.2330182676,0.2133111451,9.1305181387,30.4731340290,3.2904049102
255,22480.9566936738,0.3343890617,1.2312816113,0.2119887651,9.1304854678,5.0196993204,28.5522228393
256,22485.9763929942,0.3270558208,1.2330329898,0.2133102759,9.1305179619,29.7505756765,3.3059989557
257,22515.7269686707,0.2636384431,1.2312653410,0.2119863324,9.1304856166,5.0858566502,28.0388644856
258,22520.8128253208,0.2679191241,1.2330444396,0.2133275838,9.1305185288,30.4133824129,3.2962909740
259,22551.2262077337,0.3314503888,1.2312753739,0.2119842491,9.1304853789,5.0003882651,28.6987355363
260,22556.2265959989,0.3143572627,1.2330229235,0.2133043566,9.1305178771,29.7502419260,3.2874620699
261,22585.9768379249,0.2736849126,1.2312762370,0.2119929674,9.1304857724,5.0043899384,28.0387666936
262,22590.9812278632,0.2473614130,1.2330206556,0.2133121819,9.1305181633,30.4952292803,3.2899139873
263,22621.4764571436,0.3224618139,1.2312685264,0.2119801342,9.1304853332,5.0002223662,28.7817870859
264,22626.4766795098,0.3051962001,1.2330160306,0.2133002740,9.1305178065,29.7502321840,3.2876893853
265,22656.2269116938,0.2663315955,1.2312712791,0.2119901147,9.1304857081,5.0209859534,28.0389771652
266,22661.2478976472,0.2375314606,1.2330364186,0.2133256672,9.1305184953,30.4786280631,3.2935243392
267,22691.7265257102,0.3182929620,1.2312664168,0.2119789820,9.1304853253,5.0001844078,28.7655671784
