n,t_n,q_n,k_n,h_n,d_dot_n,T_n,W_n
131,20266.7267559688,0.2906623342,1.2340747282,0.2126950671,9.1305030227,5.0001142214,28.0389393169
132,20271.7268701902,0.2710290669,1.2358137969,0.2140096007,9.1305351274,29.7525747550,3.2886438720
133,20301.4794449453,0.2481604273,1.2340501020,0.2126826507,9.1305027559,5.2445121328,28.0400473342
134,20306.7239570781,0.3417478154,1.2358540762,0.2140299169,9.1305353638,29.7525227884,3.5272739663
135,20336.4764798664,0.3209706137,1.2340885712,0.2127014519,9.1305030855,5.0002126894,28.0397264603
136,20341.4766925558,0.3031610329,1.2358291453,0.2140167627,9.1305352529,29.7501149998,3.2877260401
137,20371.2268075556,0.2793453192,1.2340618776,0.2126873581,9.1305028496,5.0003720514,28.0394238081
138,20376.2271796070,0.2602199538,1.2358018414,0.2140025593,9.1305349637,29.9980850829,3.2889983286
139,20406.2252646899,0.3393147586,1.2340929229,0.2127026091,9.1305029833,5.0011964326,28.2744968508
140,20411.2264611225,0.3235706780,1.2358351270,0.2140188094,9.1305352270,29.7503240097,3.2877457794
141,20440.9767851322,0.2844258528,1.2340547154,0.2126818624,9.1305027083,5.0001403948,28.0396741940
142,20445.9769255270,0.2669758284,1.2357960520,0.2139978736,9.1305348457,29.4995077833,3.2888096520
143,20475.4764333103,0.3234990599,1.2341347094,0.2127363980,9.1305039295,5.0002963108,27.7857950698
144,20480.4767296211,0.2974350330,1.2358670365,0.2140464678,9.1305359870,30.2504209858,3.2877871299
145,20510.7271506068,0.2589657727,1.2340153873,0.2126554181,9.1305020826,5.0080941317,28.5394841244
146,20515.7352447386,0.2434112832,1.2357692175,0.2139809046,9.1305344449,29.4910284396,3.2905541274
147,20545.2262731782,0.3295542616,1.2341263409,0.2127294135,9.1305037209,5.0003946938,27.7770152551
148,20550.2266678720,0.3064756595,1.2358615187,0.2140412312,9.1305358380,30.2501465871,3.2876263703
149,20580.4768144591,0.2777915010,1.2340193894,0.2126562007,9.1305020868,5.0001727249,28.5394759952
150,20585.4769871840,0.2643694192,1.2357648614,0.2139749027,9.1305342897,28.9996429352,3.2889669504
151,20614.4766301192,0.3091689990,1.2341629507,0.2127597582,9.1305045644,5.0002908964,27.2866120320
152,20619.4769210157,0.2673024122,1.2358802981,0.2140607034,9.1305363705,30.9995264250,3.2882448346
153,20650.4764474407,0.3226755508,1.2340075697,0.2126406227,9.1305015836,5.0001436943,29.2862217258
154,20655.4765911350,0.3144799752,1.2357579929,0.2139623207,9.1305338957,28.2503432880,3.2873954289
155,20683.7269344230,0.2649510915,1.2341774440,0.2127767378,9.1305050547,5.7498196978,26.5391329603
156,20689.4767541208,0.2929383443,1.2358523558,0.2140356100,9.1305357320,30.2501333313,4.0370516304
157,20719.7268874521,0.2676888903,1.2340136288,0.2126526760,9.1305020096,5.0011033538,28.5398102660
158,20724.7279908059,0.2539924297,1.2357599879,0.2139721369,9.1305342281,28.9986541017,3.2893560705
159,20753.7266449076,0.3075455281,1.2341648694,0.2127608230,9.1305045958,5.0003769443,27.2858217489
160,20758.7270218519,0.2634346566,1.2358801998,0.2140605713,9.1305363699,30.9991115957,3.2883086241
161,20789.7261334476,0.3327403001,1.2340200155,0.2126479106,9.1305016974,5.0003139043,29.2839247023
162,20794.7264473520,0.3242341933,1.2357700046,0.2139692699,9.1305340204,28.2513601229,3.2869678498
163,20822.9778074749,0.2533529121,1.2341703507,0.2127722873,9.1305049522,5.7489912648,26.5391249712
164,20828.7267987396,0.2833120658,1.2358461288,0.2140315471,9.1305356477,30.2508430773,4.0366162239
165,20858.9776418169,0.2541490780,1.2340050642,0.2126474544,9.1305018897,5.0177737293,28.5403416039
166,20863.9954155462,0.2381874693,1.2357721592,0.2139832534,9.1305345034,28.9812854317,3.2920390483
167,20892.9767009779,0.3002444138,1.2341612612,0.2127584854,9.1305045586,5.0010666173,27.2688922995
168,20897.9777675952,0.2551982321,1.2358766554,0.2140584632,9.1305363231,30.9990106050,3.2886396294
169,20928.9767782002,0.2858884513,1.2339803020,0.2126240576,9.1305012876,5.0000459482,29.2873719363
170,20933.9768241484,0.2776589269,1.2357308883,0.2139460362,9.1305335779,28.3736420115,3.2886646905
171,20962.3504661600,0.2847004774,1.2342031559,0.2127926631,9.1305054254,5.6264662995,26.5428967065
172,20967.9769324594,0.2666562391,1.2358357021,0.2140258799,9.1305355258,30.4988073311,3.9145749626
173,20998.4757397905,0.3373243776,1.2340492240,0.2126688944,9.1305021743,5.0006611574,28.7802874152
174,21003.4764009480,0.3264443599,1.2357966015,0.2139884987,9.1305344752,28.7504019018,3.2870912796
175,21032.2268028498,0.2804976644,1.2341485131,0.2127516289,9.1305044247,5.1766290882,27.0388868212
176,21037.4034319380,0.3116751472,1.2359172175,0.2140810498,9.1305367882,30.8234137431,3.3174261066
177,21068.2268456811,0.2721179823,1.2339732926,0.2126206952,9.1305012210,5.0001669883,29.1123601373
178,21073.2270126695,0.2635419393,1.2357237167,0.2139426408,9.1305335068,28.4991858738,3.2890712713
179,21101.7261985432,0.3315464469,1.2342147232,0.2127944314,9.1305053016,5.5061375408,26.7844828512
180,21107.2323360840,0.2458905975,1.2358291143,0.2140239822,9.1305354899,29.9944521489,3.7904611661
181,21137.2267882329,0.2837428455,1.2340722260,0.2126929579,9.1305029815,5.0002212375,28.2818274523
182,21142.2270094705,0.2637177677,1.2358110822,0.2140074174,9.1305350796,29.7604730808,3.2888595478
183,21171.9874825512,0.2403239986,1.2340574638,0.2126883081,9.1305028973,5.2384735063,28.0406075634
184,21177.2259560576,0.3368660102,1.2358527818,0.2140284591,9.1305353729,29.7506023349,3.5232990370
185,21206.9765583925,0.3156568284,1.2340872486,0.2127000413,9.1305030754,5.0001706972,28.0382286475
186,21211.9767290896,0.2974836264,1.2358275117,0.2140151916,9.1305352277,29.7501010066,3.2878885185
187,21241.7268300962,0.2747364695,1.2340609982,0.2126862074,9.1305028263,5.0009147058,28.0394136492
188,21246.7277448020,0.2552524694,1.2358012818,0.2140017272,9.1305349460,29.9675308188,3.2892086182
189,21276.6952756209,0.3293197424,1.2340948709,0.2127044057,9.1305031089,5.0310802458,28.0501949466
190,21281.7263558666,0.3282984598,1.2358424586,0.2140224901,9.1305352895,29.7502989246,3.3172395705
191,21311.4766547912,0.3063099294,1.2340768190,0.2126941753,9.1305029647,5.0001209977,28.0385867071
192,21316.4767757889,0.2884327834,1.2358174729,0.2140096272,9.1305351086,29.7502509484,3.2881644435
193,21346.2270267373,0.2615471849,1.2340480265,0.2126790874,9.1305026619,5.0121618144,28.0400013499
194,21351.2391885517,0.2410619397,1.2358025167,0.2140057316,9.1305350484,29.9874835568,3.2913905586
195,21381.2266721085,0.3041504011,1.2340634892,0.2126851340,9.1305027491,5.0001062806,28.2760482836
196,21386.2267783891,0.2878536860,1.2358057522,0.2140016248,9.1305349152,29.2660138996,3.2882103254
197,21415.4927922887,0.2376909781,1.2341047892,0.2127258185,9.1305038182,5.2335759409,27.5406188786
198,21420.7263682296,0.3278658070,1.2358860927,0.2140559923,9.1305361055,30.2503491443,3.5195938313
199,21450.9767173738,0.2975729255,1.2340411563,0.2126688697,9.1305023664,5.0000801191,28.5386155669
200,21455.9767974930,0.2835305050,1.2357857454,0.2139868939,9.1305345634,29.2505661839,3.2883825633
201,21485.2273636769,0.2563891216,1.2340866222,0.2127092261,9.1305034042,5.2410978882,27.5399942643
202,21490.4684615651,0.3402084417,1.2358851790,0.2140536997,9.1305359561,30.2579719710,3.5274733857
203,21520.7264335361,0.3234146954,1.2340514516,0.2126733163,9.1305023821,5.0001969264,28.5449106203
204,21525.7266304625,0.3107094620,1.2357971928,0.2139919455,9.1305346285,29.2502048820,3.2875260225
205,21554.9768353445,0.2738514099,1.2340892936,0.2127091979,9.1305033912,5.0033391544,27.5398424333
206,21559.9801744989,0.2485786205,1.2358269584,0.2140234891,9.1305354770,30.4962563605,3.2896752089
207,21590.4764308594,0.3235359571,1.2340400305,0.2126653652,9.1305021863,5.0001861957,28.7832760065
208,21595.4766170551,0.3120716510,1.2357870511,0.2139848239,9.1305344509,28.7503421906,3.2874822080
209,21624.2269592458,0.2638194524,1.2341371511,0.2127468595,9.1305043229,5.2491707011,27.0390853677
210,21629.4761299468,0.3343738541,1.2359210505,0.2140819262,9.1305366907,30.7507188141,3.5341242691
211,21660.2268487609,0.2716893542,1.2339763601,0.2126243866,9.1305013120,5.0001976738,29.0396193127
212,21665.2270464348,0.2626556647,1.2357263561,0.2139460521,9.1305335902,28.4994853615,3.2890905839
213,21693.7265317963,0.3177472902,1.2342050047,0.2127902300,9.1305052784,5.7323934549,26.7863623964
214,21699.4589252512,0.3365067922,1.2358766776,0.2140479562,9.1305358492,29.7680508861,4.0255613630
215,21729.2269761373,0.2631055674,1.2340569077,0.2126855269,9.1305028189,5.0114853414,28.0559102620
216,21734.2384614786,0.2414597871,1.2358092846,0.2140106937,9.1305351687,29.9878349065,3.2912838372
217,21764.2262963851,0.3288311272,1.2340920178,0.2127028798,9.1305030747,5.0003262571,28.2738860967
218,21769.2266226422,0.3115533787,1.2358330240,0.2140184167,9.1305352684,29.7501545684,3.2875033556
219,21798.9767772106,0.2861993265,1.2340644888,0.2126883241,9.1305028644,5.0001379057,28.0393044193
220,21803.9769151163,0.2675655045,1.2358046223,0.2140035617,9.1305349834,29.9770464832,3.2887678361
221,21833.9539615995,0.3330334206,1.2340896609,0.2127010990,9.1305030007,5.0223936971,28.0546954948
222,21838.9763552965,0.3283150705,1.2358363923,0.2140190971,9.1305352071,29.2507966790,3.3085656749
223,21868.2271519755,0.2590204203,1.2340960564,0.2127159336,9.1305035673,5.2368420301,27.5389132100
224,21873.4639940056,0.3385285132,1.2358919695,0.2140590089,9.1305361003,30.2624099186,3.5263583780
225,21903.7264039242,0.3248036885,1.2340591102,0.2126786559,9.1305025053,5.0002203326,28.5490246214
226,21908.7266242568,0.3113608090,1.2358040784,0.2139967758,9.1305347436,29.2501432828,3.2875024795
227,21937.9767675396,0.2883281956,1.2341077866,0.2127206477,9.1305036541,5.0003208303,27.5390906112
228,21942.9770883699,0.2618360088,1.2358403423,0.2140311228,9.1305356561,30.2514948273,3.2887843879
229,21973.2285831972,0.2502005472,1.2340150733,0.2126561469,9.1305021047,5.1692255012,28.5399466937
230,21978.3978086983,0.3089264928,1.2358104296,0.2140022611,9.1305348847,29.3285572332,3.3042962468
231,22007.7263659315,0.3264431117,1.2341289531,0.2127314225,9.1305037903,5.0003328231,27.6151000214
232,22012.7266987546,0.3023064153,1.2358631343,0.2140426368,9.1305358831,30.2501413943,3.2876985860
233,22042.9768401489,0.2729980787,1.2340200187,0.2126568686,9.1305021080,5.0004247084,28.5393998111
234,22047.9772648573,0.2590512816,1.2357652755,0.2139754926,9.1305343072,29.4992253389,3.2891348620
235,22077.4764901962,0.3203797064,1.2341111519,0.2127193584,9.1305035278,5.0002319913,27.7866563232
236,22082.4767221876,0.2986625967,1.2358478237,0.2140321845,9.1305356377,29.9993493848,3.2878075299
237,22112.4760715723,0.3338749309,1.2340967328,0.2127062973,9.1305031217,5.0004958749,28.2835289025
238,22117.4765674472,0.3165594738,1.2358376050,0.2140217076,9.1305353296,29.7501739459,3.2874305011
239,22147.2267413932,0.2934505544,1.2340708110,0.2126925497,9.1305029559,5.0000997698,28.0389782637
240,22152.2268411630,0.2747174159,1.2358107372,0.2140076064,9.1305350758,29.7528155356,3.2885538334
241,22181.9796566986,0.2477478912,1.2340442331,0.2126792285,9.1305026721,5.2433217253,28.0403712992
242,22187.2229784239,0.3416457264,1.2358485357,0.2140267149,9.1305352871,29.7535782076,3.5264205194
243,22216.9765566315,0.3157879809,1.2340787792,0.2126958499,9.1305029720,5.0001655135,28.0413384541
244,22221.9767221450,0.2986410089,1.2358200812,0.2140116534,9.1305351394,29.4972121103,3.2878681504
245,22251.4739342554,0.3404009603,1.2341455846,0.2127423649,9.1305039481,5.0026369604,27.7357737354
246,22256.4765712157,0.3162918713,1.2358789681,0.2140528754,9.1305360873,30.2502614408,3.2893694592
247,22286.7268326565,0.2742423462,1.2340235046,0.2126594710,9.1305021707,5.0003622724,28.5391171867
248,22291.7271949289,0.2599649612,1.2357683485,0.2139778138,9.1305343630,29.4979406177,3.2890965329
249,22321.2251355465,0.3396128532,1.2341306736,0.2127314113,9.1305036872,5.0014153692,27.7729089989
250,22326.2265509158,0.3178751818,1.2358667745,0.2140436995,9.1305358580,30.2502253201,3.2881530144
251,22356.4767762359,0.2863672153,1.2340223743,0.2126574118,9.1305021056,5.0000734768,28.5394405750
252,22361.4768497127,0.2734109200,1.2357681549,0.2139762573,9.1305343158,28.9994478306,3.2887054245
253,22390.4762975434,0.3288671624,1.2341765727,0.2127674599,9.1305046588,5.0004849862,27.2850735505
254,22395.4767825296,0.2870361944,1.2358935248,0.2140679984,9.1305365274,30.9988603685,3.2878118355
255,22426.4756428981,0.3378813855,1.2340170937,0.2126458271,9.1305016029,5.0006566686,29.2796777726
256,22431.4762995667,0.3301521163,1.2357677624,0.2139675884,9.1305339444,28.2505128503,3.2867596625
257,22459.7268124170,0.2784121883,1.2341848203,0.2127805141,9.1305051354,5.7498573026,26.5389679147
258,22465.4766697196,0.3062414144,1.2358598010,0.2140394445,9.1305357953,30.2502043873,4.0366461708
259,22495.7268741069,0.2688366318,1.2340099616,0.2126499337,9.1305019414,5.0007853330,28.5397153123
260,22500.7276594399,0.2557132465,1.2357565040,0.2139694579,9.1305341623,28.9988083963,3.2892794380
261,22529.7264678362,0.3217298840,1.2341736741,0.2127657281,9.1305046584,5.0003537081,27.2854199597
262,22534.7268215443,0.2783529924,1.2358892998,0.2140655205,9.1305364779,30.9998195585,3.2879317840
263,22565.7266411027,0.3078069514,1.2339930645,0.2126314539,9.1305014207,5.0000726980,29.2874459709
264,22570.7267138007,0.2999051786,1.2357438839,0.2139534849,9.1305337241,28.2503878790,3.2879525815
265,22598.9771016797,0.2599798805,1.2341728261,0.2127737912,9.1305049856,5.7496679584,26.5394395105
266,22604.7267696381,0.2897834998,1.2358493321,0.2140336223,9.1305356890,30.2504495879,4.0370964380
267,22634.9772192260,0.2579468858,1.2340052884,0.2126476694,9.1305018930,5.0076299563,28.5401821466
