E,eta_h,d_amp,q_amp,h_amp,return_time_mean,return_time_cv,crossing_ratio,m_bar,capbind_frac,phi_bar,mid_frac_proxy
1.0533333333,0.0271000000,0.9913354508,0.7383253422,0.2606065123,93.8725179540,0.0007156316,1.0000000000,0.7117549600,0.0170659082,0.6414057176,0.0011999467
1.0533333333,0.0285500000,0.9913354505,0.7383123975,0.2600988784,89.0201445376,0.0003001937,1.0000000000,0.7143370158,0.0179992000,0.6423587156,0.0013332741
1.0533333333,0.0300000000,0.9913354502,0.7382986565,0.2599103845,84.7155652834,0.0008314542,1.0000000000,0.7106120267,0.0186658371,0.6412394700,0.0012888316
1.0800000000,0.0010000000,0.9913353966,0.7442522084,0.2435660379,2144.0023145289,0.0000000000,1.0000000000,0.6462282761,0.0010666193,0.6178752398,0.0000444425
1.0800000000,0.0024500000,0.9913353964,0.7442543040,0.2463699077,884.4402040526,0.0000578618,1.0000000000,0.6664958159,0.0021776810,0.6222680686,0.0000888849
1.0800000000,0.0039000000,0.9913353961,0.7442556022,0.2484793475,559.5908849074,0.0006040085,1.0000000000,0.6763764018,0.0030665304,0.6243174462,0.0003110973
1.0800000000,0.0053500000,0.9913353959,0.7442561228,0.2504462191,410.3351015898,0.0010393880,1.0000000000,0.6729512422,0.0039109373,0.6230517006,0.0001777699
1.0800000000,0.0068000000,0.9913353955,0.7442558116,0.2514563074,324.2455461805,0.0015178371,1.0000000000,0.6702543940,0.0051997689,0.6222505831,0.0004444247
1.0800000000,0.0082500000,0.9913353952,0.7442547206,0.2534491545,268.1877890729,0.0022569039,1.0000000000,0.6681716545,0.0061775032,0.6217512123,0.0005333096
1.0800000000,0.0097000000,0.9913353949,0.7442527509,0.2532719392,228.8274965250,0.0020024493,1.0000000000,0.6708715989,0.0072885650,0.6227893983,0.0003110973
1.0800000000,0.0111500000,0.9913353943,0.7442499939,0.2531870631,199.5997109719,0.0000009461,1.0000000000,0.6793636929,0.0078218746,0.6247619139,0.0005777521
1.0800000000,0.0126000000,0.9913353943,0.7442465042,0.2552425498,177.8831511344,0.0007774103,1.0000000000,0.6691616931,0.0091107062,0.6213324243,0.0008444069
1.0800000000,0.0140500000,0.9913353939,0.7442421056,0.2557380017,159.0367242804,0.0014584231,1.0000000000,0.6693460970,0.0101328830,0.6215669478,0.0006221946
1.0800000000,0.0155000000,0.9913353936,0.7442369203,0.2557682675,145.0286481227,0.0002743265,1.0000000000,0.6700385250,0.0111995022,0.6219331135,0.0006666370
