homotopy,parameter,value,theoretical_fold_viable,twoD_bistable_proxy,twoD_gap,sustained_oscillation,m_bar,capbind_frac,capgap_mean,phi_bar,period2_strength,R2_over_R1,d_amp,q_amp,k_amp,h_amp,E,G,epsilon,eta_h,eta_k,beta_n,lambda_D,theta0
lambda_D,lambda_D,14.2666666667,1,0,0.0000000000,0,0.0087838046,0.0000000000,0.0000000000,0.2503765939,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.7000000000,14.2666666667,-2.0000000000
lambda_D,lambda_D,14.4000000000,1,0,0.0000000000,0,0.0087705144,0.0000000000,0.0000000000,0.2503660587,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.7000000000,14.4000000000,-2.0000000000
lambda_D,lambda_D,14.5333333333,1,0,0.0000000000,0,0.0087581481,0.0000000000,0.0000000000,0.2503562568,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.7000000000,14.5333333333,-2.0000000000
lambda_D,lambda_D,14.6666666667,1,0,0.0000000000,0,0.0087466422,0.0000000000,0.0000000000,0.2503471377,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.7000000000,14.6666666667,-2.0000000000
lambda_D,lambda_D,14.8000000000,1,0,0.0000000000,0,0.0087359376,0.0000000000,0.0000000000,0.2503386543,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.7000000000,14.8000000000,-2.0000000000
lambda_D,lambda_D,14.9333333333,1,0,0.0000000000,0,0.0087259792,0.0000000000,0.0000000000,0.2503307629,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.7000000000,14.9333333333,-2.0000000000
lambda_D,lambda_D,15.0666666667,1,0,0.0000000000,0,0.0087167155,0.0000000000,0.0000000000,0.2503234225,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.7000000000,15.0666666667,-2.0000000000
lambda_D,lambda_D,15.2000000000,1,0,0.0000000000,0,0.0087080987,0.0000000000,0.0000000000,0.2503165951,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.7000000000,15.2000000000,-2.0000000000
lambda_D,lambda_D,15.3333333333,1,0,0.0000000000,0,0.0087000839,0.0000000000,0.0000000000,0.2503102451,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.7000000000,15.3333333333,-2.0000000000
lambda_D,lambda_D,15.4666666667,1,0,0.0000000000,0,0.0086926296,0.0000000000,0.0000000000,0.2503043394,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.7000000000,15.4666666667,-2.0000000000
lambda_D,lambda_D,15.6000000000,1,0,0.0000000000,0,0.0086856969,0.0000000000,0.0000000000,0.2502988473,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.7000000000,15.6000000000,-2.0000000000
lambda_D,lambda_D,15.7333333333,1,0,0.0000000000,0,0.0086792496,0.0000000000,0.0000000000,0.2502937400,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.7000000000,15.7333333333,-2.0000000000
lambda_D,lambda_D,15.8666666667,1,0,0.0000000000,0,0.0086732540,0.0000000000,0.0000000000,0.2502889907,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.7000000000,15.8666666667,-2.0000000000
lambda_D,lambda_D,16.0000000000,1,0,0.0000000000,0,0.0086676787,0.0000000000,0.0000000000,0.2502845745,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.7000000000,16.0000000000,-2.0000000000
lambda_D,lambda_D,16.1333333333,1,0,0.0000000000,0,0.0086624945,1.0000000000,0.0000036907,0.2502804683,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.7000000000,16.1333333333,-2.0000000000
