homotopy,parameter,value,theoretical_fold_viable,twoD_bistable_proxy,twoD_gap,sustained_oscillation,m_bar,capbind_frac,capgap_mean,phi_bar,period2_strength,R2_over_R1,d_amp,q_amp,k_amp,h_amp,E,G,epsilon,eta_h,eta_k,beta_n,lambda_D,theta0
eta_h,eta_h,0.0100000000,1,0,0.0000000000,0,0.0092400790,0.0000000000,0.0000000000,0.2507388833,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.7000000000,12.0000000000,-2.0000000000
eta_h,eta_h,0.0098666667,1,0,0.0000000000,0,0.0092400790,0.0000000000,0.0000000000,0.2507388833,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0098666667,0.0300000000,0.7000000000,12.0000000000,-2.0000000000
eta_h,eta_h,0.0097333333,1,0,0.0000000000,0,0.0092400790,0.0000000000,0.0000000000,0.2507388833,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0097333333,0.0300000000,0.7000000000,12.0000000000,-2.0000000000
eta_h,eta_h,0.0096000000,1,0,0.0000000000,0,0.0092400790,0.0000000000,0.0000000000,0.2507388833,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0096000000,0.0300000000,0.7000000000,12.0000000000,-2.0000000000
eta_h,eta_h,0.0094666667,1,0,0.0000000000,0,0.0092400790,0.0000000000,0.0000000000,0.2507388833,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0094666667,0.0300000000,0.7000000000,12.0000000000,-2.0000000000
eta_h,eta_h,0.0093333333,1,0,0.0000000000,0,0.0092400790,0.0000000000,0.0000000000,0.2507388833,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0093333333,0.0300000000,0.7000000000,12.0000000000,-2.0000000000
eta_h,eta_h,0.0092000000,1,0,0.0000000000,0,0.0092400790,0.0000000000,0.0000000000,0.2507388833,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0092000000,0.0300000000,0.7000000000,12.0000000000,-2.0000000000
eta_h,eta_h,0.0090666667,1,0,0.0000000000,0,0.0092400790,0.0000000000,0.0000000000,0.2507388833,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0090666667,0.0300000000,0.7000000000,12.0000000000,-2.0000000000
eta_h,eta_h,0.0089333333,1,0,0.0000000000,0,0.0092400790,0.0000000000,0.0000000000,0.2507388833,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0089333333,0.0300000000,0.7000000000,12.0000000000,-2.0000000000
eta_h,eta_h,0.0088000000,1,0,0.0000000000,0,0.0092400790,0.0000000000,0.0000000000,0.2507388833,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0088000000,0.0300000000,0.7000000000,12.0000000000,-2.0000000000
eta_h,eta_h,0.0086666667,1,0,0.0000000000,0,0.0092400790,0.0000000000,0.0000000000,0.2507388833,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0086666667,0.0300000000,0.7000000000,12.0000000000,-2.0000000000
eta_h,eta_h,0.0085333333,1,0,0.0000000000,0,0.0092400790,0.0000000000,0.0000000000,0.2507388833,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0085333333,0.0300000000,0.7000000000,12.0000000000,-2.0000000000
eta_h,eta_h,0.0084000000,1,0,0.0000000000,0,0.0092400790,0.0000000000,0.0000000000,0.2507388833,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0084000000,0.0300000000,0.7000000000,12.0000000000,-2.0000000000
eta_h,eta_h,0.0082666667,1,0,0.0000000000,0,0.0092400790,0.0000000000,0.0000000000,0.2507388833,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0082666667,0.0300000000,0.7000000000,12.0000000000,-2.0000000000
eta_h,eta_h,0.0081333333,1,0,0.0000000000,0,0.0092400790,0.0000000000,0.0000000000,0.2507388833,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0081333333,0.0300000000,0.7000000000,12.0000000000,-2.0000000000
eta_h,eta_h,0.0080000000,1,0,0.0000000000,0,0.0092400790,0.0000000000,0.0000000000,0.2507388833,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0080000000,0.0300000000,0.7000000000,12.0000000000,-2.0000000000
eta_h,eta_h,0.0078666667,1,0,0.0000000000,0,0.0092400790,0.0000000000,0.0000000000,0.2507388833,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0078666667,0.0300000000,0.7000000000,12.0000000000,-2.0000000000
eta_h,eta_h,0.0077333333,1,0,0.0000000000,0,0.0092400790,0.0000000000,0.0000000000,0.2507388833,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0077333333,0.0300000000,0.7000000000,12.0000000000,-2.0000000000
eta_h,eta_h,0.0076000000,1,0,0.0000000000,0,0.0092400790,0.0000000000,0.0000000000,0.2507388833,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0076000000,0.0300000000,0.7000000000,12.0000000000,-2.0000000000
eta_h,eta_h,0.0074666667,1,0,0.0000000000,0,0.0092400790,0.0000000000,0.0000000000,0.2507388833,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0074666667,0.0300000000,0.7000000000,12.0000000000,-2.0000000000
eta_h,eta_h,0.0073333333,1,0,0.0000000000,0,0.0092400790,0.0000000000,0.0000000000,0.2507388833,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0073333333,0.0300000000,0.7000000000,12.0000000000,-2.0000000000
eta_h,eta_h,0.0072000000,1,0,0.0000000000,0,0.0092400790,0.0000000000,0.0000000000,0.2507388833,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0072000000,0.0300000000,0.7000000000,12.0000000000,-2.0000000000
eta_h,eta_h,0.0070666667,1,0,0.0000000000,0,0.0092400790,0.0000000000,0.0000000000,0.2507388833,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0070666667,0.0300000000,0.7000000000,12.0000000000,-2.0000000000
eta_h,eta_h,0.0069333333,1,0,0.0000000000,0,0.0092400790,0.0000000000,0.0000000000,0.2507388833,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0069333333,0.0300000000,0.7000000000,12.0000000000,-2.0000000000
eta_h,eta_h,0.0068000000,1,0,0.0000000000,0,0.0092400790,0.0000000000,0.0000000000,0.2507388833,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0068000000,0.0300000000,0.7000000000,12.0000000000,-2.0000000000
eta_h,eta_h,0.0066666667,1,0,0.0000000000,0,0.0092400790,0.0000000000,0.0000000000,0.2507388833,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0066666667,0.0300000000,0.7000000000,12.0000000000,-2.0000000000
eta_h,eta_h,0.0065333333,1,0,0.0000000000,0,0.0092400790,0.0000000000,0.0000000000,0.2507388833,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0065333333,0.0300000000,0.7000000000,12.0000000000,-2.0000000000
eta_h,eta_h,0.0064000000,1,0,0.0000000000,0,0.0092400790,0.0000000000,0.0000000000,0.2507388833,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0064000000,0.0300000000,0.7000000000,12.0000000000,-2.0000000000
eta_h,eta_h,0.0062666667,1,0,0.0000000000,0,0.0092400790,0.0000000000,0.0000000000,0.2507388833,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0062666667,0.0300000000,0.7000000000,12.0000000000,-2.0000000000
eta_h,eta_h,0.0061333333,1,0,0.0000000000,0,0.0092400790,0.0000000000,0.0000000000,0.2507388833,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0061333333,0.0300000000,0.7000000000,12.0000000000,-2.0000000000
eta_h,eta_h,0.0060000000,1,0,0.0000000000,0,0.0092400790,0.0000000000,0.0000000000,0.2507388833,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0060000000,0.0300000000,0.7000000000,12.0000000000,-2.0000000000
eta_h,eta_h,0.0058666667,1,0,0.0000000000,0,0.0092400790,0.0000000000,0.0000000000,0.2507388833,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0058666667,0.0300000000,0.7000000000,12.0000000000,-2.0000000000
eta_h,eta_h,0.0057333333,1,0,0.0000000000,0,0.0092400790,0.0000000000,0.0000000000,0.2507388833,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0057333333,0.0300000000,0.7000000000,12.0000000000,-2.0000000000
eta_h,eta_h,0.0056000000,1,0,0.0000000000,0,0.0092400790,0.0000000000,0.0000000000,0.2507388833,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0056000000,0.0300000000,0.7000000000,12.0000000000,-2.0000000000
eta_h,eta_h,0.0054666667,1,0,0.0000000000,0,0.0092400790,0.0000000000,0.0000000000,0.2507388833,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0054666667,0.0300000000,0.7000000000,12.0000000000,-2.0000000000
