homotopy,parameter,value,theoretical_fold_viable,twoD_bistable_proxy,twoD_gap,sustained_oscillation,m_bar,capbind_frac,capgap_mean,phi_bar,period2_strength,R2_over_R1,d_amp,q_amp,k_amp,h_amp,E,G,epsilon,eta_h,eta_k,beta_n,lambda_D,theta0
eta_k,eta_k,0.0093000000,1,0,0.0000000000,0,0.0092400822,0.0000000000,0.0000000000,0.2507388861,NaN,NaN,0.0000000366,0.0000000874,0.0000047753,0.0000000417,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0093000000,0.7000000000,12.0000000000,-2.0000000000
eta_k,eta_k,0.0088500000,1,0,0.0000000000,0,0.0092400849,0.0000000000,0.0000000000,0.2507388885,NaN,NaN,0.0000000647,0.0000001541,0.0000084439,0.0000000726,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0088500000,0.7000000000,12.0000000000,-2.0000000000
eta_k,eta_k,0.0084000000,1,0,0.0000000000,0,0.0092400900,0.0000000000,0.0000000000,0.2507388929,NaN,NaN,0.0000001142,0.0000002711,0.0000149069,0.0000001262,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0084000000,0.7000000000,12.0000000000,-2.0000000000
eta_k,eta_k,0.0079500000,1,0,0.0000000000,0,0.0092400995,0.0000000000,0.0000000000,0.2507389011,NaN,NaN,0.0000002014,0.0000004765,0.0000262771,0.0000002191,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0079500000,0.7000000000,12.0000000000,-2.0000000000
eta_k,eta_k,0.0075000000,1,0,0.0000000000,0,0.0092401172,0.0000000000,0.0000000000,0.2507389163,NaN,NaN,0.0000003546,0.0000008363,0.0000462542,0.0000003799,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0075000000,0.7000000000,12.0000000000,-2.0000000000
eta_k,eta_k,0.0070500000,1,0,0.0000000000,0,0.0092401505,0.0000000000,0.0000000000,0.2507389447,NaN,NaN,0.0000006236,0.0000014660,0.0000813112,0.0000006579,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0070500000,0.7000000000,12.0000000000,-2.0000000000
eta_k,eta_k,0.0066000000,1,0,0.0000000000,0,0.0092402132,0.0000000000,0.0000000000,0.2507389979,NaN,NaN,0.0000010955,0.0000025675,0.0001427607,0.0000011386,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0066000000,0.7000000000,12.0000000000,-2.0000000000
eta_k,eta_k,0.0061500000,1,0,0.0000000000,0,0.0092403317,0.0000000000,0.0000000000,0.2507390980,NaN,NaN,0.0000019227,0.0000044929,0.0002503552,0.0000019691,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0061500000,0.7000000000,12.0000000000,-2.0000000000
eta_k,eta_k,0.0057000000,1,0,0.0000000000,0,0.0092405569,0.0000000000,0.0000000000,0.2507392872,NaN,NaN,0.0000033724,0.0000078577,0.0004385424,0.0000034044,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0057000000,0.7000000000,12.0000000000,-2.0000000000
eta_k,eta_k,0.0052500000,1,0,0.0000000000,0,0.0092409879,0.0000000000,0.0000000000,0.2507396474,NaN,NaN,0.0000059132,0.0000137394,0.0007673097,0.0000058859,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0052500000,0.7000000000,12.0000000000,-2.0000000000
eta_k,eta_k,0.0048000000,1,0,0.0000000000,0,0.0092418196,0.0000000000,0.0000000000,0.2507403389,NaN,NaN,0.0000103707,0.0000240315,0.0013408930,0.0000101826,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0048000000,0.7000000000,12.0000000000,-2.0000000000
eta_k,eta_k,0.0043500000,1,0,0.0000000000,0,0.0092434409,0.0000000000,0.0000000000,0.2507416808,NaN,NaN,0.0000182083,0.0000420845,0.0023398023,0.0000176442,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0043500000,0.7000000000,12.0000000000,-2.0000000000
eta_k,eta_k,0.0039000000,1,0,0.0000000000,0,0.0092466444,0.0000000000,0.0000000000,0.2507443201,NaN,NaN,0.0000320516,0.0000739005,0.0040748634,0.0000306728,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0039000000,0.7000000000,12.0000000000,-2.0000000000
eta_k,eta_k,0.0034500000,1,0,0.0000000000,0,0.0092530870,0.0000000000,0.0000000000,0.2507496057,NaN,NaN,0.0000567137,0.0001304700,0.0070760508,0.0000536480,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0034500000,0.7000000000,12.0000000000,-2.0000000000
eta_k,eta_k,0.0030000000,1,0,0.0000000000,0,0.0092663636,0.0000000000,0.0000000000,0.2507604568,NaN,NaN,0.0001013630,0.0002327180,0.0122311460,0.0000948981,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0030000000,0.7000000000,12.0000000000,-2.0000000000
