n,t_n,q_n,k_n,h_n,d_dot_n,T_n,W_n
61,19088.9765814121,0.3151217208,1.2263297336,0.2110693205,9.1304628172,15.0002407647,19.0374865020
62,19103.9768221768,0.2782061323,1.2266951143,0.2113499084,9.1304698638,20.7499106055,13.2890369411
63,19124.7267327823,0.2965075355,1.2263185186,0.2110635172,9.1304627262,15.0006255587,19.0383883991
64,19139.7273583410,0.2581417094,1.2266832915,0.2113439037,9.1304697298,20.7494670423,13.2895380692
65,19160.4768253833,0.2771506787,1.2263067330,0.2110574052,9.1304626025,15.1086400080,19.0385637271
66,19175.5854653913,0.2788781990,1.2267132666,0.2113638308,9.1304702084,20.6419730688,13.2953394394
67,19196.2274384601,0.2570423489,1.2262949639,0.2110514375,9.1304624687,15.2487331653,18.9310902221
68,19211.4761716254,0.3335929906,1.2267284791,0.2113671346,9.1304701114,20.6320552838,13.5343886031
69,19232.1082269092,0.2896610369,1.2263288506,0.2110725865,9.1304629639,15.1183504479,18.7958971143
70,19247.2265773571,0.3158281389,1.2267178882,0.2113616797,9.1304700738,20.7496219539,13.4057432596
71,19267.9761993110,0.3326654520,1.2263401993,0.2110747239,9.1304628566,15.0005315782,19.0353952031
72,19282.9767308892,0.2972431714,1.2267066980,0.2113559026,9.1304699842,20.7498536443,13.2887236247
73,19303.7265845334,0.3148525941,1.2263295724,0.2110692370,9.1304628162,15.0002390918,19.0375037045
74,19318.7268236253,0.2779156144,1.2266949370,0.2113498164,9.1304698619,20.7499107544,13.2890433106
75,19339.4767343797,0.2962272169,1.2263183488,0.2110634291,9.1304627245,15.0006558406,19.0383988480
76,19354.4773902203,0.2578389414,1.2266831403,0.2113438339,9.1304697283,20.7494366747,13.2895485154
77,19375.2268268949,0.2768592589,1.2263065550,0.2110573127,9.1304626005,15.1184820585,19.0385412461
78,19390.3453089534,0.2836989877,1.2267147927,0.2113642697,9.1304702137,20.6321664601,13.2958163918
79,19410.9774754135,0.2567383121,1.2262948179,0.2110513717,9.1304624672,15.2487081410,18.9212581600
80,19426.2261835546,0.3333384841,1.2267283278,0.2113670566,9.1304701113,20.6405359109,13.5344138345
81,19446.8667194654,0.2937869641,1.2263301627,0.2110729685,9.1304629663,15.1098610746,18.7963243497
82,19461.9765805401,0.3155588709,1.2267177269,0.2113615964,9.1304700728,20.7496297863,13.3972685108
83,19482.7262103264,0.3324099388,1.2263400474,0.2110746453,9.1304628565,15.0005221797,19.0354578055
84,19497.7267325061,0.2969629218,1.2267065284,0.2113558148,9.1304699826,20.7498551159,13.2887242284
85,19518.4765876220,0.3145828394,1.2263294107,0.2110691533,9.1304628152,15.0002374784,19.0375207486
86,19533.4768251003,0.2776243794,1.2266947591,0.2113497242,9.1304698599,20.7499108653,13.2890497060
87,19554.2267359656,0.2959465214,1.2263181788,0.2110633409,9.1304627229,15.0006881472,19.0384092182
88,19569.2274241128,0.2575357010,1.2266829912,0.2113437658,9.1304697267,20.7494043244,13.2895592141
89,19589.9768284372,0.2765673371,1.2263063766,0.2110572201,9.1304625985,15.1277443202,19.0385167431
90,19605.1045727574,0.2882204971,1.2267162260,0.2113646826,9.1304702177,20.6229419199,13.2963464233
91,19625.7275146773,0.2564340362,1.2262946746,0.2110513081,9.1304624658,15.2486804093,18.9120060558
92,19640.9761950866,0.3330836968,1.2267281763,0.2113669785,9.1304701112,20.6485051913,13.5344347319
93,19661.6247002779,0.2976484709,1.2263313926,0.2110733274,9.1304629677,15.1018834052,18.7967984271
94,19676.7265836830,0.3152894893,1.2267175656,0.2113615131,9.1304700717,20.7496373280,13.3893053287
95,19697.4762210110,0.3321538210,1.2263398951,0.2110745666,9.1304628564,15.0005131006,19.0355183855
96,19712.4767341115,0.2966822414,1.2267063584,0.2113557268,9.1304699810,20.7498565677,13.2887251241
97,19733.2265906792,0.3143123661,1.2263292485,0.2110690693,9.1304628141,15.0002359248,19.0375376694
98,19748.2268266040,0.2773324375,1.2266945808,0.2113496318,9.1304698579,20.7499109412,13.2890561376
99,19768.9767375453,0.2956645478,1.2263180078,0.2110632521,9.1304627212,15.0007227335,19.0384195725
100,19783.9774602788,0.2572309274,1.2266828437,0.2113436992,9.1304697252,20.7493697363,13.2895702368
101,19804.7268300151,0.2762744292,1.2263061976,0.2110571271,9.1304625964,15.1364773585,19.0384899650
102,19819.8633073736,0.2924681072,1.2267175742,0.2113650718,9.1304702206,20.6142491725,13.2969390934
103,19840.4775565461,0.2561284640,1.2262945336,0.2110512465,9.1304624644,15.2486497362,18.9032834229
104,19855.7262062823,0.3328277582,1.2267280241,0.2113669001,9.1304701112,20.6560131041,13.5344513086
105,19876.3822193864,0.3012705637,1.2263325479,0.2110736653,9.1304629679,15.0943674077,18.7973275760
106,19891.4765867942,0.3150193523,1.2267174037,0.2113614295,9.1304700707,20.7496445861,13.3818037206
107,19912.2262313802,0.3318971589,1.2263397424,0.2110744878,9.1304628562,15.0005043255,19.0355770238
108,19927.2267357057,0.2964011386,1.2267061881,0.2113556387,9.1304699794,20.7498579916,13.2887262946
109,19947.9765936973,0.3140419391,1.2263290864,0.2110689855,9.1304628130,15.0002344372,19.0375543919
110,19962.9768281344,0.2770405813,1.2266944026,0.2113495395,9.1304698559,20.7499109724,13.2890625725
111,19983.7267391069,0.2953834368,1.2263178375,0.2110631639,9.1304627196,15.0007594743,19.0384297783
112,19998.7274985812,0.2569269305,1.2266826996,0.2113436352,9.1304697238,20.7493330401,13.2895814929
113,20019.4768316213,0.2759823509,1.2263060193,0.2110570346,9.1304625944,15.1446578639,19.0384609920
114,20034.6214894852,0.2964313050,1.2267188342,0.2113654363,9.1304702223,20.6061114588,13.2976003699
115,20055.2276009440,0.2558233160,1.2262943961,0.2110511875,9.1304624631,15.2486161530,18.8951135213
116,20070.4762170970,0.3325721743,1.2267278723,0.2113668219,9.1304701111,20.6630465785,13.5344633952
117,20091.1392636755,0.3046478094,1.2263336270,0.2110739817,9.1304629672,15.0873261817,18.7979169480
118,20106.2265898573,0.3147499397,1.2267172425,0.2113613464,9.1304700697,20.7496515518,13.3747767021
119,20126.9762414091,0.3316410353,1.2263395903,0.2110744093,9.1304628561,15.0004958730,19.0356335970
120,20141.9767372821,0.2961207945,1.2267060185,0.2113555510,9.1304699778,20.7498593853,13.2887277207
121,20162.7265966673,0.3137724349,1.2263289251,0.2110689021,9.1304628120,15.0002330216,19.0375708716
122,20177.7268296890,0.2767497014,1.2266942252,0.2113494477,9.1304698539,20.7499109631,13.2890689961
123,20198.4767406520,0.2951029566,1.2263176678,0.2110630759,9.1304627180,15.0007985210,19.0384398807
124,20213.4775391731,0.2566234630,1.2266825587,0.2113435735,9.1304697224,20.7492940833,13.2895930100
125,20234.2268332564,0.2756914028,1.2263058419,0.2110569426,9.1304625924,15.1523161493,19.0384296491
126,20249.3791494057,0.3001257934,1.2267200106,0.2113657775,9.1304702229,20.5984985498,13.2983408551
127,20269.9776479554,0.2555189835,1.2262942624,0.2110511314,9.1304624619,15.2485795850,18.8874660324
128,20285.2262275405,0.3323172609,1.2267277210,0.2113667439,9.1304701109,20.6696346225,13.5344709459
129,20305.8958621629,0.3077951681,1.2263346344,0.2110742777,9.1304629656,15.0807307086,18.7985755805
130,20320.9765928715,0.3144814272,1.2267170818,0.2113612635,9.1304700686,20.7496582399,13.3681952615
131,20341.7262511114,0.3313855922,1.2263394387,0.2110743310,9.1304628559,15.0004877287,19.0356881923
132,20356.7267388401,0.2958413805,1.2267058495,0.2113554636,9.1304699761,20.7498607549,13.2887293796
133,20377.4765995950,0.3135034478,1.2263287640,0.2110688188,9.1304628109,15.0002316766,19.0375871638
134,20392.4768312715,0.2764594599,1.2266940482,0.2113493561,9.1304698519,20.7499109126,13.2890754220
135,20413.2267421841,0.2948225484,1.2263174979,0.2110629878,9.1304627163,15.0008400895,19.0384499048
136,20428.2275822736,0.2563199231,1.2266824207,0.2113435140,9.1304697211,20.7492526580,13.2896048502
137,20448.9768349317,0.2754000260,1.2263056640,0.2110568503,9.1304625904,15.1595237239,19.0383958030
138,20464.1363586556,0.3035869937,1.2267211142,0.2113660982,9.1304702225,20.5913392215,13.2991787593
139,20484.7276978770,0.2552145564,1.2262941323,0.2110510780,9.1304624607,15.2485397876,18.8802694815
140,20499.9762376646,0.3320622440,1.2267275696,0.2113666659,9.1304701108,20.6758318775,13.5344739432
141,20520.6520695421,0.3107396897,1.2263355784,0.2110745557,9.1304629632,15.0745263092,18.7993179592
142,20535.7265958513,0.3142126174,1.2267169209,0.2113611805,9.1304700676,20.7496647087,13.3620047858
143,20556.4762605601,0.3311293235,1.2263392863,0.2110742523,9.1304628557,15.0004798292,19.0357412420
144,20571.4767403893,0.2955612109,1.2267056798,0.2113553758,9.1304699745,20.7498621089,13.2887312823
145,20592.2266024982,0.3132333754,1.2263286020,0.2110687350,9.1304628098,15.0002303964,19.0376033653
146,20607.2268328946,0.2761680244,1.2266938702,0.2113492639,9.1304698499,20.7499108113,13.2890818872
147,20627.9767437059,0.2945417470,1.2263173276,0.2110628995,9.1304627146,15.0008844190,19.0384598391
148,20642.9776281248,0.2560157426,1.2266822856,0.2113434569,9.1304697198,20.7492085252,13.2896170480
149,20663.7268366500,0.2751082387,1.2263054858,0.2110567579,9.1304625884,15.1663078909,19.0383591853
150,20678.8931445409,0.3068288222,1.2267221495,0.2113663996,9.1304702212,20.5846065969,13.3001330484
151,20699.4777511378,0.2549086333,1.2262940051,0.2110510271,9.1304624595,15.2484963884,18.8734966796
152,20714.7262475262,0.3318060835,1.2267274172,0.2113665874,9.1304701106,20.6816858702,13.5344722406
153,20735.4079333964,0.3135047080,1.2263364662,0.2110748176,9.1304629600,15.0686654128,18.8001630224
154,20750.4765988091,0.3139424207,1.2267167587,0.2113610967,9.1304700665,20.7496709792,13.3561577632
155,20771.2262697883,0.3308716268,1.2263391328,0.2110741730,9.1304628555,15.0004721455,19.0357929324
156,20786.2267419339,0.2952795447,1.2267055088,0.2113552873,9.1304699728,20.7498634415,13.2887334240
157,20806.9766053754,0.3129624084,1.2263284393,0.2110686508,9.1304628087,15.0002291844,19.0376194522
158,20821.9768345598,0.2758756503,1.2266936916,0.2113491713,9.1304698479,20.7499106631,13.2890884009
159,20842.7267452229,0.2942595216,1.2263171563,0.2110628106,9.1304627130,15.0009318654,19.0384697463
160,20857.7276770883,0.2557098154,1.2266821530,0.2113434021,9.1304697186,20.7491613322,13.2896296735
161,20878.4768384205,0.2748150962,1.2263053067,0.2110566649,9.1304625864,15.1727104543,19.0383194859
162,20893.6495488748,0.3098720055,1.2267231229,0.2113666837,9.1304702191,20.5782590129,13.3012310019
163,20914.2278078877,0.2546016571,1.2262938816,0.2110509792,9.1304624585,15.2484492388,18.8671057800
164,20929.4762571265,0.3315490807,1.2267272643,0.2113665087,9.1304701105,20.6871856446,13.5344656913
165,20950.1634427710,0.3160858599,1.2263372967,0.2110750634,9.1304629562,15.0631589595,18.8011258456
166,20965.2266017305,0.3136722066,1.2267165968,0.2113610132,9.1304700654,20.7496770158,13.3506650573
167,20985.9762787463,0.3306142329,1.2263389797,0.2110740940,9.1304628553,15.0004647161,19.0358429728
168,21000.9767434625,0.2949984893,1.2267053385,0.2113551992,9.1304699712,20.7498647498,13.2887357516
169,21021.7266082122,0.3126919455,1.2263282771,0.2110685670,9.1304628076,15.0002280492,19.0376353451
170,21036.7268362615,0.2755838391,1.2266935135,0.2113490792,9.1304698459,20.7499104625,13.2890949001
171,21057.4767467239,0.2939780097,1.2263169856,0.2110627222,9.1304627113,15.0009822623,19.0384795260
172,21072.4777289863,0.2554044365,1.2266820247,0.2113433504,9.1304697175,20.7491112477,13.2896426380
173,21093.2268402340,0.2745226472,1.2263051282,0.2110565724,9.1304625843,15.1787131236,19.0382767863
174,21108.4055533576,0.3127087093,1.2267240321,0.2113669498,9.1304702161,20.5723146655,13.3024962537
175,21128.9778680231,0.2542953021,1.2262937630,0.2110509349,9.1304624575,15.2483984018,18.8611150257
176,21144.2262664249,0.3312927275,1.2267271121,0.2113664303,9.1304701103,20.6923469265,13.5344541813
177,21164.9186133513,0.3184914779,1.2263380724,0.2110752936,9.1304629517,15.0579912613,18.8022289605
178,21179.9766046126,0.3134023060,1.2267164350,0.2113609298,9.1304700644,20.7496828421,13.3455109733
179,21200.7262874547,0.3303569348,1.2263388268,0.2110740150,9.1304628551,15.0004575232,19.0358915048
180,21215.7267449778,0.2947175827,1.2267051683,0.2113551112,9.1304699695,20.7498660379,13.2887382734
181,21236.4766110157,0.3124214033,1.2263281148,0.2110684830,9.1304628065,15.0002269903,19.0376510876
182,21251.4768380060,0.2752919704,1.2266933354,0.2113489870,9.1304698439,20.7499102063,13.2891014176
183,21272.2267482124,0.2936966224,1.2263168149,0.2110626337,9.1304627096,15.0010359001,19.0384891935
184,21287.2277841124,0.2550989186,1.2266819004,0.2113433018,9.1304697164,20.7490579843,13.2896560119
185,21307.9768420967,0.2742304128,1.2263049499,0.2110564800,9.1304625823,15.1843497133,19.0382308346
186,21323.1611918101,0.3153559167,1.2267248821,0.2113671992,9.1304702125,20.5667402432,13.3039696510
187,21343.7279320533,0.2539880688,1.2262936485,0.2110508940,9.1304624567,15.2483434289,18.8554907188
188,21358.9762754822,0.3310357357,1.2267269592,0.2113663516,9.1304701101,20.6972008608,13.5344375217
189,21379.6734763430,0.3207370510,1.2263387980,0.2110755095,9.1304629468,15.0531311192,18.8035053454
190,21394.7266074621,0.3131321640,1.2267162730,0.2113608462,9.1304700633,20.7496884798,13.3406643420
191,21415.4762959419,0.3300992280,1.2263386735,0.2110739359,9.1304628548,15.0004505405,19.0359386993
192,21430.4767464824,0.2944364061,1.2267049978,0.2113550230,9.1304699679,20.7498673098,13.2887409789
193,21451.2266137922,0.3121502110,1.2263279519,0.2110683988,9.1304628053,15.0002260084,19.0376667343
194,21466.2268398007,0.2749994116,1.2266931567,0.2113488946,9.1304698418,20.7499098940,13.2891079677
195,21486.9767496946,0.2934141780,1.2263166434,0.2110625448,9.1304627079,15.0010932139,19.0384988143
196,21501.9778429085,0.2547920233,1.2266817795,0.2113432561,9.1304697154,20.7490011135,13.2896698809
197,21522.7268440220,0.2739369263,1.2263047706,0.2110563870,9.1304625803,15.1896688536,19.0381812319
198,21537.9165128756,0.3178373167,1.2267256803,0.2113674339,9.1304702083,20.5614874290,13.3057132753
199,21558.4780003046,0.2536796476,1.2262935384,0.2110508567,9.1304624559,15.2482840113,18.8501842386
200,21573.7262843159,0.3307779232,1.2267268058,0.2113662726,9.1304701099,20.7017803284,13.5344154778
201,21594.4280646444,0.3228386121,1.2263394785,0.2110757125,9.1304629415,15.0485456442,18.8050012405
202,21609.4766102886,0.3128609214,1.2267161102,0.2113607622,9.1304700621,20.7496939490,13.3360923260
203,21630.2263042376,0.3298404993,1.2263385194,0.2110738564,9.1304628546,15.0004437429,19.0359847186
204,21645.2267479805,0.2941541839,1.2267048266,0.2113549344,9.1304699662,20.7498685537,13.2887438761
205,21665.9766165342,0.3118791629,1.2263277893,0.2110683147,9.1304628042,15.0002251092,19.0376821881
206,21680.9768416434,0.2747070285,1.2266929783,0.2113488023,9.1304698398,20.7499095214,13.2891145211
207,21701.7267511648,0.2931318281,1.2263164720,0.2110624560,9.1304627062,15.0011542259,19.0385083333
208,21716.7279053907,0.2544848853,1.2266816632,0.2113432140,9.1304697145,20.7489406127,13.2896842064
209,21737.4768460035,0.2736437842,1.2263045917,0.2110562943,9.1304625782,15.1946606809,19.0381278996
210,21752.6715066844,0.3201491811,1.2267264257,0.2113676538,9.1304702035,20.5565661183,13.3077922923
211,21773.2280728027,0.2533711083,1.2262934339,0.2110508236,9.1304624552,15.2482201033,18.8452054218
212,21788.4762929059,0.3305202101,1.2267266526,0.2113661937,9.1304701096,20.7060701439,13.5343879080
213,21809.1823630498,0.3247901492,1.2263401122,0.2110759022,9.1304629358,15.0442500235,18.8067607894
214,21824.2266130733,0.3125904235,1.2267159480,0.2113606785,9.1304700610,20.7496992147,13.3318100076
215,21844.9763122880,0.3295827436,1.2263383663,0.2110737774,9.1304628543,15.0004371723,19.0360292674
216,21859.9767494603,0.2938731805,1.2267046563,0.2113548464,9.1304699645,20.7498697822,13.2887469137
217,21880.7266192425,0.3116082416,1.2263276267,0.2110682307,9.1304628030,15.0002242953,19.0376975172
218,21895.7268435378,0.2744148287,1.2266928002,0.2113487102,9.1304698378,20.7499090798,13.2891210843
219,21916.4767526176,0.2928506503,1.2263163016,0.2110623677,9.1304627045,15.0012189030,19.0385176656
220,21931.4779715206,0.2541786973,1.2266815524,0.2113431759,9.1304697137,20.7488765196,13.2896989646
221,21952.2268480402,0.2733516660,1.2263044137,0.2110562021,9.1304625762,15.1993356249,19.0380708580
222,21967.4261836651,0.3222974239,1.2267271201,0.2113678592,9.1304701983,20.5519659291,13.3103024351
223,21987.9781495942,0.2530632610,1.2262933353,0.2110507951,9.1304624546,15.2481516473,18.8405438462
224,22003.2263012415,0.3302632943,1.2267265000,0.2113661152,9.1304701094,20.7100927668,13.5343547158
225,22023.9363940083,0.3266029826,1.2263407026,0.2110760794,9.1304629299,15.0402218104,18.8088575437
226,22038.9766158186,0.3123205416,1.2267157862,0.2113605951,9.1304700599,20.7497043217,13.3277949583
227,22059.7263201403,0.3293247950,1.2263382129,0.2110736982,9.1304628540,15.0004307888,19.0360726442
228,22074.7267509291,0.2935920661,1.2267044859,0.2113547583,9.1304699628,20.7498709862,13.2887501139
229,22095.4766219153,0.3113377057,1.2263274644,0.2110681468,9.1304628019,15.0002235705,19.0377126736
230,22110.4768454859,0.2741230396,1.2266926223,0.2113486182,9.1304698358,20.7499085797,13.2891276450
231,22131.2267540655,0.2925682601,1.2263161301,0.2110622787,9.1304627028,15.0012880405,19.0385269886
232,22146.2280421060,0.2538708454,1.2266814458,0.2113431412,9.1304697130,20.7488080450,13.2897143279
233,22166.9768501510,0.2730585054,1.2263042348,0.2110561094,9.1304625741,15.2037444439,19.0380093794
234,22182.1805945949,0.3243063393,1.2267277708,0.2113680522,9.1304701928,20.5476368508,13.3134106935
235,22202.7282314457,0.2527541395,1.2262932423,0.2110507709,9.1304624541,15.2480779394,18.8361488409
236,22217.9763093851,0.3300055828,1.2267263467,0.2113660363,9.1304701091,20.7138889709,13.5343154611
237,22238.6901983560,0.3282964185,1.2263412553,0.2110762458,9.1304629238,15.0364201878,18.8114108992
238,22253.7266185439,0.3120494209,1.2267156234,0.2113605111,9.1304700588,20.7497092854,13.3240064621
239,22274.4763278293,0.3290657644,1.2263380586,0.2110736186,9.1304628537,15.0004245630,19.0361150250
240,22289.4767523922,0.2933098527,1.2267043145,0.2113546696,9.1304699611,20.7498721788,13.2887534806
241,22310.2266245710,0.3110657328,1.2263273009,0.2110680622,9.1304628007,15.0002229340,19.0377277841
242,22325.2268475050,0.2738297099,1.2266924432,0.2113485255,9.1304698338,20.7499079977,13.2891342644
243,22345.9767555027,0.2922858461,1.2263159586,0.2110621898,9.1304627011,15.0013616449,19.0385361570
244,22360.9781171475,0.2535625715,1.2266813447,0.2113431109,9.1304697123,20.7487351858,13.2897302543
245,22381.7268523333,0.2727653354,1.2263040561,0.2110560169,9.1304625721,15.2078873296,19.0379434125
246,22396.9347396629,0.3261769022,1.2267283783,0.2113682330,9.1304701870,20.5435788047,13.3173351066
247,22417.4783184676,0.2524445300,1.2262931556,0.2110507517,9.1304624538,15.2479988567,18.8320202168
248,22432.7263173244,0.3297477479,1.2267261935,0.2113659574,9.1304701088,20.7174450365,13.5342699617
249,22453.4437623608,0.3298653176,1.2263417693,0.2110764013,9.1304629177,15.0328588673,18.8145546072
250,22468.4766212281,0.3117791966,1.2267154614,0.2113604275,9.1304700576,20.7497140758,13.3204581077
251,22489.2263353039,0.3288076495,1.2263379052,0.2110735394,9.1304628533,15.0004185344,19.0361561337
252,22504.2267538383,0.2930287698,1.2267041441,0.2113545815,9.1304699595,20.7498733456,13.2887569597
253,22524.9766271839,0.3107950187,1.2263271385,0.2110679782,9.1304627995,15.0002223951,19.0377426776
254,22539.9768495790,0.2735378083,1.2266922654,0.2113484336,9.1304698317,20.7499073462,13.2891408543
255,22560.7267569252,0.2920042067,1.2263157877,0.2110621013,9.1304626994,15.0014397723,19.0385451968
256,22575.7281966975,0.2532547146,1.2266812497,0.2113430852,9.1304697118,20.7486578908,13.2897467345
257,22596.4768545883,0.2724726504,1.2263038778,0.2110559245,9.1304625700,15.2117747575,19.0378729091
258,22611.6886293458,0.3279148728,1.2267289444,0.2113684021,9.1304701809,20.5397815237,13.3224223137
259,22632.2284108695,0.2521347836,1.2262930757,0.2110507377,9.1304624536,15.2479141882,18.8281475216
260,22647.4763250577,0.3294901465,1.2267260404,0.2113658786,9.1304701085,20.7207886720,13.5342180103
261,22668.1971137297,0.3313229610,1.2263422483,0.2110765466,9.1304629114,15.0295101530,18.8185263247
262,22683.2266238827,0.3115088140,1.2267152991,0.2113603438,9.1304700565,20.7497187389,13.3171222804
263,22703.9763426216,0.3285487528,1.2263377511,0.2110734599,9.1304628530,15.0004126557,19.0361963140
264,22718.9767552773,0.2927469353,1.2267039730,0.2113544929,9.1304699578,20.7498744944,13.2887605887
265,22739.7266297718,0.3105237774,1.2263269755,0.2110678939,9.1304627983,15.0002219548,19.0377574664
266,22754.7268517266,0.2732452990,1.2266920871,0.2113483414,9.1304698297,20.7499066132,13.2891474825
267,22775.4767583398,0.2917220704,1.2263156164,0.2110620124,9.1304626976,15.0015230828,19.0385541337
